Year,Month,Day,Specific Humidity,Relative Humidity,Temperature,Precipitation
2000,1,1,6.35,76.69,11.36,0.86
2000,2,1,8.12,84.75,13.76,0.33
2000,3,1,7.63,75.75,14.55,0.82
2000,4,1,7.93,79.62,14.04,5.22
2000,5,1,9.77,81.81,16.96,1.53
2000,6,1,10.62,77.06,19.47,0.05
2000,7,1,11.29,78.19,20.19,0.21
2000,8,1,11.35,76.56,20.7,0.11
2000,9,1,11.35,80.31,19.76,0.43
2000,10,1,9.89,81.31,17.32,1.25
2000,11,1,8.67,80.31,15.22,4.18
2000,12,1,8.85,83,15.05,7.46
2001,1,1,8.06,82.25,13.77,4.68
2001,2,1,7.75,83.19,13.23,2.05
2001,3,1,9.03,86.5,14.77,3.41
2001,4,1,8.3,80.25,14.86,0.44
2001,5,1,9.34,82.69,16.05,1.21
2001,6,1,10.74,82,18.59,0.39
2001,7,1,11.29,82.44,19.29,0.1
2001,8,1,12.33,84.75,20.18,0.08
2001,9,1,11.47,80.62,19.86,1.11
2001,10,1,11.23,84.5,18.6,3.73
2001,11,1,7.63,77.25,13.94,0.7
2001,12,1,7.26,82.56,12.15,1.44
2002,1,1,7.93,82.56,13.72,1.53
2002,2,1,7.63,80.69,13.48,0.63
2002,3,1,8.06,79.56,14.41,2.4
2002,4,1,8.06,77.31,14.89,1.37
2002,5,1,8.67,78.38,15.87,0.53
2002,6,1,10.01,80.88,17.69,0.26
2002,7,1,10.5,79,18.94,0.05
2002,8,1,11.29,82.25,19.37,0.06
2002,9,1,12.33,88.31,19.39,3.36
2002,10,1,11.41,83.62,19.07,2.56
2002,11,1,9.34,81.75,16.19,5.11
2002,12,1,8.85,84.06,14.86,3.93
2003,1,1,7.02,77.19,12.48,2.77
2003,2,1,7.39,82.69,12.45,3.57
2003,3,1,8.3,84.19,14.07,2.18
2003,4,1,8.48,81.38,14.87,3.05
2003,5,1,9.16,78.38,16.8,0.57
2003,6,1,11.29,82.75,19.18,0.68
2003,7,1,11.54,81.31,19.89,0.47
2003,8,1,13.12,81.88,21.84,0.79
2003,9,1,11.9,79.88,20.69,1.31
2003,10,1,10.13,79.44,17.98,5.08
2003,11,1,8.97,82.5,15.48,3.22
2003,12,1,7.63,82.5,13,2.76
2004,1,1,8.24,86.38,13.44,2.35
2004,2,1,7.63,82.62,13.02,1.44
2004,3,1,7.39,79.31,13.13,1.65
2004,4,1,7.81,77.06,14.45,0.72
2004,5,1,9.03,79.69,16.24,0.56
2004,6,1,11.66,82.12,19.87,0.04
2004,7,1,11.41,79.12,20.16,0.02
2004,8,1,12.7,81.62,21.3,0.62
2004,9,1,11.6,80.5,20.14,0.48
2004,10,1,10.25,81.56,17.8,3.64
2004,11,1,8.18,79.75,14.64,1.2
2004,12,1,7.2,79.56,12.8,0.61
2005,1,1,6.59,78.5,11.65,0.03
2005,2,1,5.92,74.25,10.86,0.61
2005,3,1,7.69,79.56,13.43,1.22
2005,4,1,8.3,79.12,15.02,0.59
2005,5,1,9.4,78.31,17.12,0.7
2005,6,1,11.05,78,19.88,0.02
2005,7,1,11.72,79.62,20.4,0.1
2005,8,1,11.96,76.44,21.53,0.08
2005,9,1,10.99,77.19,20.01,0.16
2005,10,1,10.56,78.75,18.82,3.33
2005,11,1,8.3,78.38,15.06,3.92
2005,12,1,7.45,80.25,13.06,1.64
2006,1,1,6.65,78.94,11.58,1.6
2006,2,1,6.77,78.12,12.05,2.04
2006,3,1,8.24,85.25,13.69,3.09
2006,4,1,8.85,81.12,15.62,1.23
2006,5,1,9.46,77.19,17.54,0.03
2006,6,1,11.35,80.25,19.74,0.9
2006,7,1,12.21,79.44,21.19,0.12
2006,8,1,11.96,77.31,21.31,0.37
2006,9,1,12.15,82.62,20.41,1.55
2006,10,1,11.9,83.75,19.64,5.12
2006,11,1,10.38,82.88,17.6,5.75
2006,12,1,7.32,78.81,13.07,1.57
2007,1,1,7.2,82.75,12.2,0.83
2007,2,1,8.18,83.75,13.72,2.64
2007,3,1,7.45,77.62,13.69,0.5
2007,4,1,8.24,79.19,14.8,1.67
2007,5,1,9.09,80.62,16.17,1.16
2007,6,1,10.5,82.25,18.05,1
2007,7,1,11.11,79.88,19.56,0.11
2007,8,1,10.99,77.62,19.8,0.17
2007,9,1,11.66,81.38,19.96,1.09
2007,10,1,10.19,79.44,18.21,0.45
2007,11,1,7.75,73.19,15.16,1.94
2007,12,1,7.45,80.38,13.08,1.35
2008,1,1,8.24,83.62,14.04,2.07
2008,2,1,8.24,82.81,14.18,2.8
2008,3,1,7.63,77.75,13.96,0.86
2008,4,1,8.42,76.56,15.74,3.31
2008,5,1,9.16,79.81,16.32,1.82
2008,6,1,10.56,78.62,18.94,0.04
2008,7,1,11.54,80.94,19.87,0.02
2008,8,1,11.6,81.75,19.8,0.04
2008,9,1,11.41,81.25,19.63,0.57
2008,10,1,9.64,78.69,17.37,1.21
2008,11,1,7.45,77.44,13.64,1.56
2008,12,1,7.57,84.19,12.56,2.34
2009,1,1,7.26,81.88,12.06,4.31
2009,2,1,7.2,80.31,12.55,1.8
2009,3,1,7.87,77.94,14.49,0.34
2009,4,1,7.75,79.19,13.94,1.24
2009,5,1,8.85,75.69,16.89,0.6
2009,6,1,11.29,80.38,19.69,0.85
2009,7,1,11.35,79.19,20.01,0.04
2009,8,1,11.78,80.19,20.4,0.04
2009,9,1,11.23,79,19.93,0.21
2009,10,1,11.66,82.44,19.68,1.78
2009,11,1,9.58,80.88,16.77,2.42
2009,12,1,8.42,81.81,14.28,5.72
2010,1,1,7.75,81.94,13.14,3.58
2010,2,1,7.63,81.88,12.83,5.28
2010,3,1,7.75,79.12,13.73,2.94
2010,4,1,9.09,80.5,16,1.94
2010,5,1,9.09,77,16.76,0.87
2010,6,1,10.68,82.75,18.2,0.57
2010,7,1,11.66,79.69,20.4,0.02
2010,8,1,11.96,78.5,21.08,0.03
2010,9,1,11.9,82,20.12,0.1
2010,10,1,10.19,80,17.89,3.96
2010,11,1,8.36,78.25,15.12,2.79
2010,12,1,8.3,83.19,13.69,4.58
2011,1,1,7.57,80.69,13.08,1.88
2011,2,1,7.63,81.19,13.37,2.62
2011,3,1,7.69,79.62,13.64,1.71
2011,4,1,9.58,81.19,16.8,2.9
2011,5,1,10.62,79.25,18.8,1.54
2011,6,1,10.62,77.31,19.3,0.16
2011,7,1,10.93,80.75,19.03,0.02
2011,8,1,11.78,82.25,19.98,0.45
2011,9,1,11.66,82.06,19.86,0.6
2011,10,1,10.5,75.06,19.57,1.45
2011,11,1,8.79,80.06,15.56,4.77
2011,12,1,7.63,81.19,13.36,0.48
2012,1,1,6.77,77.94,12.28,0.45
2012,2,1,5.8,72.31,10.99,0.04
2012,3,1,7.45,75.19,14.3,1.01
2012,4,1,7.51,77.38,13.73,1.42
2012,5,1,9.58,79.5,17.24,1.63
2012,6,1,10.74,79.25,19.05,0.09
2012,7,1,10.74,78.44,19.38,0.02
2012,8,1,11.96,79.75,20.72,0.13
2012,9,1,11.47,75.19,21.05,0.9
2012,10,1,10.62,81.06,18.26,2.6
2012,11,1,8.48,78.88,15.2,4.76
2012,12,1,8.3,83.25,14.04,2.46
2013,1,1,7.87,82.62,13.47,2.39
2013,2,1,6.84,78.81,12.05,1.53
2013,3,1,8,82.44,13.45,5.15
2013,4,1,8.06,78.38,14.63,0.99
2013,5,1,8.24,77.31,15.27,0.44
2013,6,1,9.7,78.75,17.7,0.23
2013,7,1,11.72,79.69,20.53,0.04
2013,8,1,11.9,80.06,20.67,0
2013,9,1,11.66,80.75,20.11,0.45
2013,10,1,11.29,82.75,19.03,2.03
2013,11,1,7.93,76.88,14.55,0.41
2013,12,1,7.26,77.56,13.19,1.15
2014,1,1,8.06,82.75,13.74,2.66
2014,2,1,7.45,80.38,12.97,1.93
2014,3,1,7.51,78.5,13.6,0.93
2014,4,1,8.91,82.31,15.44,1.35
2014,5,1,9.03,76.31,17.03,0.63
2014,6,1,10.38,78.25,18.77,0.45
2014,7,1,11.54,81.12,19.9,0.16
2014,8,1,11.84,82,20.12,0.04
2014,9,1,13,84.38,21.03,2.75
2014,10,1,11.78,81.19,20.08,1.43
2014,11,1,9.52,80.69,16.64,4.71
2014,12,1,7.32,80.62,12.78,0.64
2015,1,1,6.9,80.31,12.06,1.52
2015,2,1,6.65,77.94,11.75,0.47
2015,3,1,7.39,79.56,13.21,0.44
2015,4,1,8.61,79.81,15.56,1.34
2015,5,1,9.34,76,17.65,0.29
2015,6,1,10.56,76.38,19.47,0.18
2015,7,1,12.02,81.69,20.43,0.05
2015,8,1,11.78,81,20.19,0.08
2015,9,1,10.68,79.38,18.99,0.33
2015,10,1,10.99,82.69,18.56,3.55
2015,11,1,9.52,83.25,16.35,1.33
2015,12,1,8.97,85.06,15.12,1.27
2016,1,1,8.36,81.88,14.49,2.81
2016,2,1,7.45,79.5,13.2,2.04
2016,3,1,7.2,79.88,12.74,0.94
2016,4,1,8.12,80.88,14.27,2.6
2016,5,1,9.03,80.44,16.11,3.14
2016,6,1,10.8,80.62,18.96,0.07
2016,7,1,11.54,79.25,20.37,0.04
2016,8,1,11.66,78,20.84,0.03
2016,9,1,11.23,78.75,19.99,0.29
2016,10,1,10.68,82.5,18.27,1.71
2016,11,1,8.85,80.44,15.56,3.77
2016,12,1,8.12,83,13.95,2.3
2017,1,1,7.08,78.31,12.57,1.74
2017,2,1,7.75,81.62,13.41,2.12
2017,3,1,7.81,80.06,13.92,2.47
2017,4,1,8.54,75.88,16.21,0.12
2017,5,1,9.95,78.75,17.94,1.18
2017,6,1,10.99,77.69,19.77,0.16
2017,7,1,11.29,80.69,19.68,0.07
2017,8,1,11.29,80.19,19.77,0.23
2017,9,1,10.62,81.56,18.5,0.01
2017,10,1,10.38,77.75,19.02,0.47
2017,11,1,8.79,79.44,15.77,1.64
2017,12,1,7.45,77.94,13.42,1.49
2018,1,1,7.51,81.56,12.98,1.86
2018,2,1,6.84,78.44,12,1.65
2018,3,1,7.57,80,13.25,4.93
2018,4,1,8.12,81.12,14.12,3.24
2018,5,1,8.85,81.06,15.59,0.59
2018,6,1,10.38,82.88,17.83,0.6
2018,7,1,11.66,84.06,19.43,0.09
2018,8,1,11.66,78.75,20.69,0.06
2018,9,1,11.84,81.94,20.23,0.16
2018,10,1,10.01,77.75,18.15,1.95
2018,11,1,8.85,82.62,15.22,4.34
2018,12,1,8.24,84.62,13.97,0.61
2019,1,1,7.14,80.5,12.43,1.19
2019,2,1,7.26,78.25,13.16,0.56
2019,3,1,7.69,76.81,14.5,0.84
2019,4,1,8.18,79.56,14.65,2.3
2019,5,1,9.4,77.19,17.62,0.29
2019,6,1,9.7,77.88,17.68,0.29
2019,7,1,11.54,83.25,19.4,0.09
2019,8,1,11.66,82.94,19.65,0.22
2019,9,1,11.11,78.62,19.84,0.51
2019,10,1,10.68,83.12,18.14,1.07
2019,11,1,9.34,82.56,15.95,3.02
2019,12,1,8.54,85.62,14.13,2.9
2020,1,1,7.63,81.75,13.12,1.32
2020,2,1,8.42,85.44,14.21,0.2
2020,3,1,7.93,80.5,14.01,1.78
2020,4,1,8.85,83.25,15.11,4.24
2020,5,1,10.44,81.56,18.12,2
2020,6,1,10.56,80.12,18.55,0.2
2020,7,1,11.72,81.69,20.01,0.53
2020,8,1,12.08,83.38,20.11,0.17
2020,9,1,11.72,81.81,19.99,0.91
2020,10,1,9.89,80.69,17.43,4.19
2020,11,1,9.58,84.5,16.1,4.06
2020,12,1,8.18,80.94,14.26,2.44
2021,1,1,7.08,80.56,11.95,0.85
2021,2,1,8.42,86.12,13.87,2.64
2021,3,1,7.63,78.38,13.98,0.68
2021,4,1,9.28,83.5,15.83,2.22
2021,5,1,9.09,78.44,16.63,0.53
2021,6,1,10.13,81.12,17.75,0.45
2021,7,1,11.11,82.69,18.94,0.05
2021,8,1,11.84,85.06,19.45,0.12
2021,9,1,12.27,83.12,20.37,1.13
2021,10,1,10.99,81.94,18.93,1.31
2021,11,1,8,77.5,14.69,0.56
2021,12,1,8.85,86.19,14.62,2.12
